Date,Open,High,Low,Close,Adj Close,Volume
2019-10-23,68.000000,68.980003,66.959999,67.580002,67.580002,494000
2019-10-24,66.699997,68.589996,66.230003,68.300003,68.300003,431600
2019-10-25,67.779999,70.260002,67.779999,69.730003,69.730003,482400
2019-10-28,70.150002,72.330002,70.150002,70.730003,70.730003,989000
2019-10-29,70.410004,72.760002,69.339996,71.529999,71.529999,1228000
2019-10-30,71.400002,71.440002,67.459999,69.199997,69.199997,1499400
2019-10-31,72.330002,78.750000,72.300003,76.599998,76.599998,4985100
2019-11-01,77.370003,78.589996,74.330002,78.360001,78.360001,2061900
2019-11-04,78.360001,80.500000,77.400002,80.349998,80.349998,3879500
2019-11-05,80.699997,81.440002,78.809998,80.120003,80.120003,1140100
2019-11-06,79.839996,80.239998,78.199997,80.000000,80.000000,960800
2019-11-07,80.839996,82.860001,79.330002,80.089996,80.089996,1055700
2019-11-08,79.120003,80.680000,78.099998,80.660004,80.660004,883700
2019-11-11,79.690002,81.540001,79.334999,81.000000,81.000000,669800
2019-11-12,81.000000,82.519997,80.120003,80.760002,80.760002,1033800
2019-11-13,80.029999,80.559998,78.900002,79.709999,79.709999,747000
2019-11-14,80.059998,80.629997,78.750000,78.889999,78.889999,586400
2019-11-15,79.400002,81.480003,78.500000,80.940002,80.940002,856700
2019-11-18,80.480003,82.760002,77.629997,78.150002,78.150002,1186000
2019-11-19,78.730003,79.120003,77.809998,78.040001,78.040001,1143600
2019-11-20,78.050003,79.940002,76.769997,77.449997,77.449997,1827300
2019-11-21,77.730003,78.732002,76.980003,77.500000,77.500000,890800
2019-11-22,80.000000,81.500000,78.089996,81.480003,81.480003,1664800
2019-11-25,81.099998,85.059998,81.000000,83.959999,83.959999,2220700
2019-11-26,84.000000,85.000000,82.930000,84.900002,84.900002,1250300
2019-11-27,84.989998,86.300003,84.121002,85.879997,85.879997,881400
2019-11-29,85.550003,85.800003,83.470001,83.739998,83.739998,455800
2019-12-02,81.099998,81.180000,77.370003,78.440002,78.440002,1944800
2019-12-03,77.050003,79.169998,75.680000,78.879997,78.879997,1293200
2019-12-04,79.930000,80.699997,79.112000,80.050003,80.050003,903200
2019-12-05,80.279999,80.349998,78.589996,79.349998,79.349998,1067500
2019-12-06,77.250000,80.040001,75.199997,80.029999,80.029999,2204300
2019-12-09,80.040001,81.209999,78.220001,78.330002,78.330002,1377700
2019-12-10,78.449997,79.169998,77.660004,78.110001,78.110001,941900
2019-12-11,78.169998,78.699997,77.349998,77.480003,77.480003,856100
2019-12-12,77.220001,78.180000,76.900002,77.050003,77.050003,812000
2019-12-13,76.959999,77.889999,76.250000,76.309998,76.309998,984700
2019-12-16,76.300003,78.290001,75.540001,78.160004,78.160004,1156700
2019-12-17,78.779999,79.315002,76.614998,79.269997,79.269997,1013200
